label_file,taxonomy
546032_labels.txt,https://github.com/deanorloff/miso-sound-taxonomy/blob/27bad02358277a453f367cafae21a9891a65567b/terms/taxonomy_for_annotations.json
547234_labels.txt,https://github.com/deanorloff/miso-sound-taxonomy/blob/27bad02358277a453f367cafae21a9891a65567b/terms/taxonomy_for_annotations.json
554907_labels.txt,https://github.com/deanorloff/miso-sound-taxonomy/blob/27bad02358277a453f367cafae21a9891a65567b/terms/taxonomy_for_annotations.json
556780_labels.txt,https://github.com/deanorloff/miso-sound-taxonomy/blob/27bad02358277a453f367cafae21a9891a65567b/terms/taxonomy_for_annotations.json
557540_labels.txt,https://github.com/deanorloff/miso-sound-taxonomy/blob/27bad02358277a453f367cafae21a9891a65567b/terms/taxonomy_for_annotations.json
580220_labels.txt,https://github.com/deanorloff/miso-sound-taxonomy/blob/27bad02358277a453f367cafae21a9891a65567b/terms/taxonomy_for_annotations.json
613719_labels.txt,https://github.com/deanorloff/miso-sound-taxonomy/blob/27bad02358277a453f367cafae21a9891a65567b/terms/taxonomy_for_annotations.json
636467_labels.txt,https://github.com/deanorloff/miso-sound-taxonomy/blob/27bad02358277a453f367cafae21a9891a65567b/terms/taxonomy_for_annotations.json
84275_labels.txt,https://github.com/deanorloff/miso-sound-taxonomy/blob/27bad02358277a453f367cafae21a9891a65567b/terms/taxonomy_for_annotations.json
87506_labels.txt,https://github.com/deanorloff/miso-sound-taxonomy/blob/27bad02358277a453f367cafae21a9891a65567b/terms/taxonomy_for_annotations.json
87984_labels.txt,https://github.com/deanorloff/miso-sound-taxonomy/blob/27bad02358277a453f367cafae21a9891a65567b/terms/taxonomy_for_annotations.json
328010_labels.txt,https://github.com/deanorloff/miso-sound-taxonomy/blob/27bad02358277a453f367cafae21a9891a65567b/terms/taxonomy_for_annotations.json
